stopword removal,Score_Positif,Score_Negatif,Sentiment,Score
trump sakit kaya pimpin amerika hancur ekonomi global,1,-2,Negatif,-1
amerika serikat percaya,1,-2,Negatif,-1
omogan trump kaya kentut,1,-1,Netral,0
donald bebek matek,1,-1,Netral,0
sang mafia legendaris paham aksi licik,1,-3,Negatif,-2
contoh manusia nyata picik licik bohong munafik seprti manusia nyata,1,-3,Negatif,-2
negara atur tindak sepakat hukum internasional langgar dasar licik teroris biadab rampok,1,-3,Negatif,-2
iran ambil nuklir,1,-2,Negatif,-1
amerika sekutu keok tang iran negara serang iran sanggup,1,-1,Netral,0
klaim trump beda nyata,1,-1,Netral,0
moga allah swt lindung iran zolim munafik licik trump netanyahu firaun hitler abad psikopat bahaya psikopat rakyat bahaya psikopat pimpin bahaya solusi negara dunia laku embargo ekonomi kucil negara psikopat amerika serikat israel moga dengar wowo dengar statement solusi cerdik perang paham pimpin dunia,1,-3,Negatif,-2
good job iran bravo iran,1,-1,Netral,0
setan trump ingkar janji,1,-4,Negatif,-3
tutup buka,1,-1,Netral,0
percaya amerika anak buah dajal,1,-2,Negatif,-1
trump odgj odgj percaya alias munafik licik tipu mudah percaya,1,-3,Negatif,-2
amerika kafir percaya ingkar bohong,1,-2,Negatif,-1
prmah negosiasi terofis amerika serikat zionis israelmereka licik,1,-3,Negatif,-2
untung amerika serikat licik,1,-3,Negatif,-2
sin licik serakah trumpet minyak uranium iran israel netanyahu suka rampok wilayah negara trumpet amerika serikat suka ambil minyak negara paket,3,-3,Netral,0
iran damai bunuh ali khamenei,1,-1,Netral,0
stand with iran,1,-1,Netral,0
kutuk donald trumppp,1,-1,Netral,0
trump otak error makzul manusia aneh,1,-2,Negatif,-1
gila tindak muka bumi,1,-2,Negatif,-1
eaalah tutup rapat salathormouz trump dunia serasa milik kali,1,-1,Netral,0
percaya trumpet gila percaya lucu wowo president indonesia jilat tunduk coblos pilpres kemarin sesal,3,-2,Positif,1
tutup lagibarti iran punahberani taruh,1,-1,Netral,0
tumben antek donald bebek n isriwil komentar,1,-1,Netral,0
kapal mabur,1,-1,Netral,0
amerika negara licik rampok trimakasih metro tv,1,-3,Negatif,-2
mmng percaya trusaduhh,1,-2,Negatif,-1
asikkkk petang blokade lanjuttttt iran terpurukkkkk uclim indonesia kelonjotan,1,-1,Netral,0
knapa pimpin dukung amerika serikat pimpin kecut politik politik kali,4,-1,Positif,3
allah menang negeri muslim iran negeri lawan jajah iblis amerika setan israel,2,-4,Negatif,-2
amerika israel laknatullaah cari jalan kecoh mmbumi hangus iran amerika alibi alibi iran lengahpas lengah gerak mmbumi hangus iranwaspada iran,1,-2,Negatif,-1
awas kena jebak amerika serikat israel,1,-1,Netral,0
bravo iran bravo irgc allahuakbar allahuakbar allahuakbar islam menang,2,-1,Positif,1
percaya sekte protes ingkar janji,1,-2,Negatif,-1
teritori ngoto kau blokadegmn negara blokade laut trump bela daulat iran,1,-1,Netral,0
dahlaaaa perang dunia munafik usaha kejiperang ancuran,1,-3,Negatif,-2
kasihan trumptahan banget pecundanggila sorak bayar,1,-3,Negatif,-2
biar jajah amerika henti usik negara langkah lawan musnah,1,-2,Negatif,-1
kali amerika serikat ingkar janji,1,-1,Netral,0
rezim trump jahanam halal rezim kasih nafas habis rezim trump dusta,1,-1,Netral,0
mamarika negara maling,1,-1,Netral,0
percaya rezim trump jahanam,1,-2,Negatif,-1
iranallohuakbar hancur setan setan israel zionis amerika amerika serikat biadab keji laknatullah,1,-5,Negatif,-4
mentangmentang dollar amerika serikat suka suka,3,-1,Positif,2
berani amerika serikat tahan kapal china rusia,3,-1,Positif,2
nama perang undur maju perang amerika serikat vs iran kaya perang ujung perang mundur maju menang kalah hihi menang amerika serikat menang iran menang kaya perang mah ujung senjata nuklir kak endak maha kuasa mengancurkan dunia,2,-3,Negatif,-1
perang habis hadap titik darah habis binasa militer amerika serikat donald duck manusia licik mati hidup sia takbir,1,-3,Negatif,-2
letup matahari kiamat,1,-1,Netral,0
truml niat nuklir dalih trump niat utama trump ngambil minyak iran maksud trump iran anggap venezuala mudah takluk,1,-1,Netral,0
letup kapal minyak ladang minyak kiamat,1,-1,Netral,0
oyen kaya bocah roblox,1,-1,Netral,0
yesus salip,1,-1,Netral,0
tampar keras amerika gpunya muka,1,-3,Negatif,-2
dunia serang armada amerika serikat,1,-1,Netral,0
donald bebek tipu ulung bop anggota manut manut,1,-2,Negatif,-1
dasar licik licik amerika serikat sirewel susah,1,-3,Negatif,-2
eropa kompak negara jahat,1,-3,Negatif,-2
kapal pertamina blokade buka lihat model trump,1,-1,Netral,0
bagus prang salah negara serah,3,-2,Positif,1
trump gila ingatmengusahkan,1,-2,Negatif,-1
iran harga brooo haram iran tunduk dajal,1,-4,Negatif,-3
metro emm berani label amerika rampok ingkar janji salut team redaksi metro bravo metro,3,-1,Positif,2
amerika serikat bajak laut,1,-1,Netral,0
kaya ngulur pasu darat strategi,1,-1,Netral,0
trump gila maknya nyata janji ubah ubah,1,-2,Negatif,-1
amerika serikat belut kalah pamor iran negara maunkadi super power,3,-1,Positif,2
hhhh gila amerika serikat,1,-2,Negatif,-1
nyata tuju amerika serikat sbnary nuklir pengin minyak iran nama mala,1,-1,Netral,0
iran nipu amrik nuklir rudal jarak jangkau ribukm kwkwkwk,1,-1,Netral,0
gila donald omong nya bocah konsisten,1,-2,Negatif,-1
coba tembk dkit kapl amerika serikat blokir selat hormuz mundur,1,-2,Negatif,-1
go bravo iran semangat iran,2,-1,Positif,1
kompromi mamarika untung pimpin kompromi goblock unlimeted habis,1,-1,Netral,0
negara adidaya kena batunyasampek bingung serah malu serah hancur ekonomi,1,-3,Negatif,-2
malu donald bebek teroriz amerika israel,1,-3,Negatif,-2
buka tutup buka tutup gampang banget bohong amerika serikat wakakaka,1,-1,Netral,0
perang gencat amerika serikat manfaat rencana gencat cari hancur iran amerika serikat licik pe ngecut penuh drama,2,-3,Negatif,-1
oke hajarr leburrr tabarakalloh abah donald,1,-1,Netral,0
ngebet pengin damai,1,-1,Netral,0
hahaha bop niiran dibohongin donat,1,-1,Netral,0
keren iran dasar garong dunia berani lawan licik licik amerika serikat,3,-3,Netral,0
iran cepat bikin senjata niklirnya setan setan ayo iran bikin cepat nuklir dengar setan bohong,1,-4,Negatif,-3
alas serang janji mungkir janji kafir laknatullaah selagi kemahuan,1,-1,Netral,0
amerika percaya mimpin trump odgj,1,-2,Negatif,-1
biar manusia dunia tahusiapa jahat dunia amerika serikat israel ubah iblis dajjalsatu dunia salahdia salah,1,-3,Negatif,-2
nampaknya strategi donald bebek duduk pulau kharg kapal nato tangkis spam dronerudalkapal iran pesawat tempur intai titik luncur rudal iran sisi pecah kosentrasi iran pasu darat masuk wilayah iran lindung air strikesemoga iran strategi jitu halau semuabravo iran,1,-2,Negatif,-1
percaya makananaya ingkar janji lawan biar angkuh hancur,1,-3,Negatif,-2
terima kasih ulas iran muka amerika serikat trump gengster no dunia,2,-1,Positif,1
bravo iran balas runding donald trump percaya licik,1,-3,Negatif,-2
iran drama negara susah percaya percaya baya drama kau iran,1,-2,Negatif,-1
amerika bajak laut internasional air iraniran lawan bajak laut mundur iran hak penuh selat hurmuz,2,-2,Netral,0
percaya amerika serikat isrewel,1,-2,Negatif,-1
amerika trump dipercayabeda detik beda,1,-1,Netral,0
amerika negara maling rampok,1,-1,Netral,0
iran serang blokade selat hormuz amerika hancur infrastruktur bom masuk hancur ekonomi kilang minyak jembatan labuh pabrik pabrik air listrik kirim pasu darat mahal bom pakai bom bodoh murah hancur truk supply darat masuk produksi listrik rudal kaya nuklir pakai tangan masuk ngincer pimpin pimpin blokade amerika gerak iran cina arab cina puyeng iran venezuela tutup arab selat hormuz tutup ekonomi suram,1,-3,Negatif,-2
kirim bon atom iranbiar buka jaya dunia sejahteracontoh bom atom hirosoma nagasakibayangkan bom atom amerika,1,-2,Negatif,-1
bagus iran tutup selat hormuz moga sepakat damai temu jalan buntu arti serang amerika serikat israel iran arti hancur iran mata lihat hebat militer asisrael bombardir iran memusnakan rezim iran muka bumi,4,-1,Positif,3
amerika israel sekutu percaya wajib hancur,1,-2,Negatif,-1
du percaya genctan,1,-2,Negatif,-1
gaya bicara kaya nipu agresif bohong bocil tua,1,-1,Netral,0
betapa rumit urus amerikatapi dunia olah pejam mata,1,-2,Negatif,-1
negara raja standar ganda percaya,1,-2,Negatif,-1
iran bego percaya amerika serikat israelklau perang serah musnah israel amerika serikat dunia kiyamat,1,-3,Negatif,-2
percaya samamedia iran,1,-2,Negatif,-1
oten kecewa,1,-1,Netral,0
amerika percaya prabowo jongos amerika hina jokowi antek cina prabowo terang terang jongos amerika,1,-2,Negatif,-1
lucu lucu lucu wkwkw,3,-1,Positif,2
inti negaranegara lintas selat hormuz bayar repot,1,-2,Negatif,-1
us memperlakukann indonesia,1,-1,Netral,0
alquran kafir langgar janji indonesia gabung bop amerika serikat israel lihat palestina merdeka,1,-1,Netral,0
damai kecuali trump bunuh,1,-1,Netral,0
tutup musuh iran bikin rudal bayak negosiasi akal akal trump,2,-3,Negatif,-1
setan sebentar hancur presiden gila,1,-4,Negatif,-3
amerika percaya iran main,1,-2,Negatif,-1
indonesia nonblok amerika israel serang iran kecam dasar manusia pro dukung jajah bpk takut miskin amerika lihat iran rakyat,4,-3,Positif,1
negara pembohongpenjahat dunia,1,-1,Netral,0
mantap iran lawan sepenuh,1,-2,Negatif,-1
dajjjal percaya,1,-2,Negatif,-1
dukung pikun solusi nama pikun bilang lupa pikun,4,-2,Positif,2
amerika serikat penasaran minyak iran minyak iran jatuh tangan rampok abad amerika,1,-1,Netral,0
mantap kuasa penuh iran insyaallah moga iran sukses amin,1,-2,Negatif,-1
percaya omong iblis bohong ragu,1,-3,Negatif,-2
seharusnxa negara putus hububgan deplomatik amerika serikat,1,-1,Netral,0
percaya amirika licik perang amirika,1,-3,Negatif,-2
amerikaisrael bajing janji,1,-1,Netral,0
layar amrik serang negara percaya,1,-2,Negatif,-1
trump plin plan jejal granat mulut,1,-1,Netral,0
gara amerika rakyat dunia derita,1,-1,Netral,0
percaya trump ingkar ingkar pengkiant kafir,1,-2,Negatif,-1
amerika tukang tipu presiden percayakalo berak trump emas,1,-2,Negatif,-1
mantap percaya amerika israel,1,-2,Negatif,-1
iran china rusia iring kapal negara jet tempur amerika serikat serang kapal belayarjika amerika serikat kacau tembak sahaja asmenjadikan amerika serikat lawan sekutu jahat sekat kapal air iran,1,-3,Negatif,-2
strategi amerika serikat isriwil isi ulang amunisi laku serang skala,1,-1,Netral,0
drama iranian regime,1,-1,Netral,0
keluarga pilih iran,1,-1,Netral,0
lucu asbisa blokade jalur diaklo indonesia blokade jalur eropa,3,-1,Positif,2
indonesia licikin amerika,1,-1,Netral,0
iran main amerika serikat,1,-1,Netral,0
gencat senjata minggu doang besok yaaahhhh rudal kapal amrik,1,-2,Negatif,-1
trump plinplan galau duinya dah habis,1,-1,Netral,0
iran sanggup mending demgerin amerika serikat israel negera tukang bohong rampok kaya negara,1,-1,Netral,0
amerika ingkar janji lumrah munafik,1,-3,Negatif,-2
chord kali lihat presiden kaya amerika keoar mulut trump kalah,1,-1,Netral,0
tutup tahunayu iran,1,-1,Netral,0
presiden soekarno,1,-1,Netral,0
gila amerika serikat iran,1,-2,Negatif,-1
terima kasih metro tv informasi akurat,2,-1,Positif,1
bravo iran,1,-1,Netral,0
keren reprternya amerika rekam jejak pengianatan,2,-1,Positif,1
israel amerika dipcyudah khianat,1,-1,Netral,0
percaya amerika israel,1,-2,Negatif,-1
baku habis baku ancam coba tes,1,-1,Netral,0
percaya janji aneh strategi amerika serikat tragedi highway of death pojok amerika serikat biar trump pojok ekonomi politik kalah trump,1,-3,Negatif,-2
innalillahi wa inna ilaihi roojiun hormat iran percaya nabi musa ingkar,3,-2,Positif,1
kagak sejarah negara licik kafer mudah lawan iman,2,-3,Negatif,-1
lucu lihat donald bebek omong sendirimembuat putus sendirimerasa rezim donald bebek amerika harga dirinyamemalukaningin meramas daulat negara iran tindak keras sungguh malu moga iranirgcrakyat iran lindung allah swt kuasa alam semestapencipta langit bumiaamiin,3,-2,Positif,1
kama nabi yahudi nasranin percaya lihat jara islam,1,-2,Negatif,-1
iran main us,1,-1,Netral,0
amerika israel percaya sihomongan trump kaya banciselama pimpin trump amerika sadis bengis yabukannya bawa damai obar perangmakin terang terang peran preman duniapbb diam hukum amerikagunanya pbb,1,-2,Negatif,-1
bebek bebek gara gara bebek dunia damai tentram bravo iran,1,-1,Netral,0
tuhan bunuh manusia,1,-1,Netral,0
amerika israel percaya otak licik gass kasih kendor,1,-3,Negatif,-2
pirates one piece is real guys,1,-1,Netral,0
sesuai ajar bebas bohong trump,1,-2,Negatif,-1
percaya amerika penghinat,1,-2,Negatif,-1
percayadengan amirika sekutunyadalih gencet senjatagencetan senjata merekauntuk kirim senjata israel,1,-2,Negatif,-1
ilmuwan makan genderewo,1,-1,Netral,0
dajjal amerika percaya,1,-2,Negatif,-1
ssmua negara kasih js kaya amerika serikat israel perang,1,-3,Negatif,-2
ranjau laut darat mantap iran,1,-1,Netral,0
moga trump karma jahat menzolimi,1,-3,Negatif,-2
edar kabar ribu tentara amerika serikat lapar laut akibat kirim pasok kapal perang beaya oprasional besaar milyarharikapal kapal,1,-3,Negatif,-2
suka metro tv amerika rampok jajah mantap metro tv,3,-1,Positif,2
iran cerdas hadap manuver licik amerika iran bukti dunia internasional beniat tutup buka selat hormuz ekonomi dunia guncang akibat ulah amerika ancam aman daulat iran pasu arnada laut amerika pergi tinggal kawasan teluk serang iran iran normalisasi selat hormuz selagi amerika ancam blokade laut kawasan teluk harap iran normalisasi selat hormuz trump mimpi terustrump halusinasi kuasa dunia internasional shg hati dikte tekan paksa negara tunduk patuh absolut berani ban sayang sombong angkuh trump bentur tembok sia iran teguh prinsip setia janji ganggu daulat,4,-3,Positif,1
kafir anak tuhan sombong al quran bible qs al maidah ayat langgar janji laknat hati keras batu suka ubah firmanfirman allah tempattempatnya sengaja lupa pesan engkau nabi muhammad senantiasa lihat khianat kecuali kelompok khianat maaf biar sungguh allah suka orangorang muhsin matius tb hai turun ular beludak halhal jahat mulut luap hati jalan tengahtengahmu engkau bangsa tegar tengkuk binasa engkau jalankeluaran firman tuhan musa israel bangsa tegar tengkuk jalan tengahtengahmu binasa,3,-3,Netral,0
trumpil tanggung malu parah stres,1,-3,Negatif,-2
staretegi licik nipu terang terang,1,-3,Negatif,-2
amerika jajah tutuk,1,-1,Netral,0
trm bawa bencana srmoga mnusia cepat selesai,1,-4,Negatif,-3
amerika bajing kutuk,1,-1,Netral,0
perang donald bebek lengser,1,-3,Negatif,-2
harga amerika kencing trump mjadi negara perampoknegara plinplan negara munafik negara arogan sngat jijik,1,-4,Negatif,-3
tipu amarika,1,-2,Negatif,-1
united pirate sates of amerika upsa,1,-1,Netral,0
percaya amerika amerika israel iblis setan,1,-4,Negatif,-3
iran jual beli mental sia beda,1,-1,Netral,0
iran damai kalah khusus pimpin rezim pandang terima damai maksud pimpin rejim tewas rudal akibat perang mati sahid kalah damai adil langgar ham langgar internasional teroris rang negara tetangga akh nasib sedih adil hadap sadar sadam husin presiden irak salam sadar,2,-3,Negatif,-1
amerika serikat labil,1,-2,Negatif,-1
mental jajah amerika serikat sulit ubah mental korup jabat indonesia,1,-3,Negatif,-2
trump jepit buka janji pakat hasil runding iran buka selat buka pikir trump iran buka posisi lemah shg blokade amerika serikat thd kapal tuju iran iran tutup selat adu urat saraf,1,-3,Negatif,-2
presiden khianat,1,-1,Netral,0
layan bohong,1,-1,Netral,0
zaman nabi muhammad kafir laku damai janji langgar menghianati,1,-1,Netral,0
allahuakbar dajjal musnah amin,1,-1,Netral,0
gila kaya trump pilih presiden amerika,1,-2,Negatif,-1
amerika percaya amerika sumber kacau dunia rampok internasional,1,-2,Negatif,-1
ayo iranmaju,1,-1,Netral,0
amerika kuat ekonomi keburu iran bangkrut duluan taktik adu kuat lapar tahan,1,-3,Negatif,-2
kangker dunia,1,-1,Netral,0
iran tutup selat hormuz bebek ketemu neken iran iran bangkrut ekonomi serah donald buka blokade,1,-3,Negatif,-2
berita hoax sebar hibur umatclim clim,1,-1,Netral,0
nyata amerika serikat israel keparat grup indonesia bop,1,-3,Negatif,-2
amerika penjajahharus lawan,1,-2,Negatif,-1
bravo iran moga allah swt kuat,1,-1,Netral,0
duit bop kasi israel,1,-1,Netral,0
licik kokiya perang,1,-3,Negatif,-2
metro tv iran,1,-1,Netral,0
mamarika kocak,1,-1,Netral,0
kasihan rakyat amerika bolak bohong presiden amerika,1,-3,Negatif,-2
pimpin iran bingung trump,1,-2,Negatif,-1
percaya amerika maju hancur israel amerika allahu akbar,1,-2,Negatif,-1
amerika rakus minyak nyata,1,-1,Netral,0
kapok bhongi trsy gncetan senjata percaya amerika serikat israel,1,-2,Negatif,-1
donald trump donald trump tua tinggah capek capek bikin bajing donald trump sipat serakah tenang hidup sipat serakah darah daging hati pokok amerika sulit percaya sifat bajing donald trump puas walpon salah sipat serakah,2,-2,Netral,0
nego bebek licik tukang tipu,1,-3,Negatif,-2
iran pegang kendali amerika serikat amerika serikat berani kontak langsung iran hebat amerika serikat cerita film fikrif nyata membehhh ndoblehhh,4,-1,Positif,3
trump kuasa selat malaka kuasa selat data duduk indonesia amerika antek asing muncul kabar kena usul blanket overflight access izin lintas udara pesawat militer amerika serikat wilayah indonesia muncul spekulasi kawasan asia tenggara berita bbcnewsindonesia nilai langkah strategi washington kuat pengaruh jalur layar vital dunia selat malaka tegang selat hormuz tingkat spekulasi kali cuat media india firstpost muat lapor april amerika serikat aju akses terbang armada militer langit indonesia,2,-3,Negatif,-1
suara lemas,1,-2,Negatif,-1
amerika serikat turun turun hobi jajah rampok wilayah negara lainselat otoritas hak iran ganggu,2,-1,Positif,1
mumpung trump brngskbrngsknya iran hajar rudal hancur aset amerika serikat kawasan kapal induk mondarmandir sok jago,1,-2,Negatif,-1
amerika ngancam laku kuat iran kasih kendor rezim irgc iran infrakstrukturnya kasih kado spesial irgc iran radikal biar dunia saksi kuat kuat amerika,1,-2,Negatif,-1
negara munafik janji licik,1,-3,Negatif,-2
iran sikat adar amerika susah senjata,1,-2,Negatif,-1
jagan percaya percaya ciri munafik percaya ingkar moga negara iran lindung,1,-3,Negatif,-2
amerika bajak laut negara malu,1,-3,Negatif,-2
percaya amerika israel,1,-2,Negatif,-1
alhamdulillahsemoga cepat hancur binasa siteroris israel amerika jahat perang musnah bumi,1,-3,Negatif,-2
mantap iran allahu akbar,1,-1,Netral,0
amerika hilang kapal induk timur habis mata mata satelit amerika kawasan negara mitra amerika bayar biaya aman nasional anggar militer amerika turun drastis,2,-3,Negatif,-1
trump pendiriansudah stres,1,-2,Negatif,-1
donald bebek rese banget sok kuasa,1,-1,Netral,0
tutup bbm indonesia harga,1,-1,Netral,0
perang obrol melulu klaamaan negosiasi amerika serikat israel,1,-3,Negatif,-2
berani lawan assemua negara takut amerika serikat,3,-3,Netral,0
sepakat odgj,1,-1,Netral,0
susah damai jajah,1,-1,Netral,0
iran bela palestina eh nyata iran perang saing bisnis untung negara,1,-3,Negatif,-2
demen lihat metro tv bawa berita berani kutuk zionist amerika serikat,3,-1,Positif,2
donald licik janji,1,-3,Negatif,-2
kabar preman amerika serikat mangkal malak situ,1,-1,Netral,0
janji percaya zionis amerika serikat israel,1,-2,Negatif,-1
percaya iran bolbal genjatan senjata mending bombardir amriko and isrewel habis,1,-2,Negatif,-1
sungguh manusia pembohongjika iran aman iran wajib senjata nuklir,2,-2,Netral,0
iran nuklir kolaborasi korut rusia n china,1,-1,Netral,0
here go agains black mondays,1,-1,Netral,0
tokoh bop omong percaya donald trump netanyahu prabowo,1,-2,Negatif,-1
laku bicara langsung amerika,1,-1,Netral,0
donaldtrump real odgj,1,-1,Netral,0
mampus rasai,1,-1,Netral,0
percaya amerika serikat stlah trbuka tengker posisi aman amerika serikat ulah mulut trump amerika serikat israel busukk,2,-2,Netral,0
makanyaaa percaya trump israel iblis khianat bohong janji ingkar,1,-3,Negatif,-2
cabut blokade trumpet menang tutup alas kakek tukang ingkar janji,2,-1,Positif,1
sabar iran hadap iblis,2,-3,Negatif,-1
tuju israel gencat senjata dilibanon perang asisrael iran hizbullah serang israel,1,-3,Negatif,-2
negara engak percaya kapai teman,2,-2,Netral,0
hafal indonesia main iran,1,-1,Netral,0
kristen khianat janji ummat islammaka wajar langgar janji,1,-2,Negatif,-1
bilang pernh percy dajjal kaya donald trumpdia teroris dunia,1,-3,Negatif,-2
moga amerika cepat runtuh,1,-2,Negatif,-1
arti pbbsemua negara dunia berani amerika serikat gampang negara dunia kompak bangsa duniatapi kompak,3,-1,Positif,2
bajing trump harga minyak antek main main ekonomi cari untung ekonomi harga minyak berat ekonomi negara gantung minyak tutup iran blokade amerika perang tuju ekonomi trump,1,-3,Negatif,-2
dunia harap amerika serikat,1,-1,Netral,0
kaya anak,1,-1,Netral,0
amerika israel percaya manusia munafik dhzalim kasih kasih hatiiran waspada,1,-3,Negatif,-2
selat hormuz milik iran milik amerika,1,-1,Netral,0
iran hadap amerika serikat takut bajak laut amerika serikat langsung rudal kapal nuklir amerika serikat,1,-3,Negatif,-2
metro tv mantap berani bilang amerika negara rampok,3,-1,Positif,2
amerika serikat omon omon doang,1,-1,Netral,0
rugi minyak mahal,1,-2,Negatif,-1
amerika bajak laut,1,-1,Netral,0
ingkar janji amerika,1,-1,Netral,0
celah irgc takut amer amer israel power,1,-3,Negatif,-2
eeeeeuuuuuh isrewel amerika serikat acau agresi damai sungguh akal,2,-3,Negatif,-1
negara nuklir tahan,1,-1,Netral,0
moga hancur israel amerika serikat disegerakanamin,1,-1,Netral,0
israel hancur amerika nyerahhanya iran hancur israel,1,-1,Netral,0
donald bebek dunia milk amerika serikat sikap ngr berani amerika serikat,3,-1,Positif,2
us navy blokade total makan obat blok masuk iran lihat lapar jr rakyat iran,1,-2,Negatif,-1
amerika serikat israel hancur leburiran,1,-1,Netral,0
bosan main drama irgc haha,2,-1,Positif,1
eropa pakai lilin,1,-1,Netral,0
negosiasi iblis trump semangat juang bangsa iran,2,-3,Negatif,-1
dasarx licik licik percaya,1,-3,Negatif,-2
presiden amerika munafiq,1,-1,Netral,0
jalan perang habis,1,-3,Negatif,-2
catat percaya terrorist amerika serikat zn rl,1,-2,Negatif,-1
trump gilaaaaaaa,1,-1,Netral,0
mamarica raja jahat duniajd skle,1,-3,Negatif,-2
amerika serikat hengkang teluk hormuz ayo iran langsung hancur kapal teluk,1,-1,Netral,0
tuhan bohong manusia,1,-1,Netral,0
buang kerok amerika serikat israel,1,-2,Negatif,-1
donald bebek percaya,1,-2,Negatif,-1
temenya prabuwuuuuuuu susah bilang,1,-1,Netral,0
amerika janji,1,-1,Netral,0
jalan iran ganggu cepat nuklir,1,-1,Netral,0
amerika lihat kecut bicara sepak kerah armada area blokade tembak iran negeri kecut alih perhati israel tembak tentara indonesia serang libanon nyawa murah,1,-2,Negatif,-1
iran kasih kapal tengker cepat lintas serentak jam telat tungu mingu pacu kapal gede pepet kaya metromini india,1,-2,Negatif,-1
iran kasih kapal tengker cepat lintas serentak jam telat tungu mingu pacu kapal gede pepet kaya metromini india,1,-2,Negatif,-1
ribet banget,1,-1,Netral,0
genjatan senjata tarik ulur strategi peperangan teroris amerika serikat teroris amerika serikat kalah akibat strategi invasi kalah mutlakmelainkan perang henti jenak,1,-3,Negatif,-2
percaya amerika jajah rampok ubah,1,-2,Negatif,-1
ajar mikir dunia,1,-2,Negatif,-1
sila percaya amerika,1,-2,Negatif,-1
sulit titik temu amerika serikat is cari menang,2,-2,Netral,0
irgc top margotop,1,-1,Netral,0
amerika israel percaya jamin negara teluk jual minyak,1,-2,Negatif,-1
biar rajalela,1,-1,Netral,0
oten indonesia vs trumsetannyahu,1,-1,Netral,0
ass iean tindak habis gencat sennata langsung serang kapal induk jajah amerika negosiasi rakyat indonesia muslim dukung penuh iran lawan abresor iblis trump,4,-3,Positif,1
hadeh parah iran buka amerika percaya tekan iran lemah ekonomi iran semena mena mendekte iran runding buka hormuz ide bodoh lawan tekan iran kuat blokade selat bab ell buka hormuz kecuali sepakat damai sepakat buka ide gila,1,-2,Negatif,-1
amerika serikat israel tipe licikdan suka ingkar janjiitu alkitabmana yahudi jujurtidak,3,-1,Positif,2
langsung rudal israel,1,-1,Netral,0
amerika resah dunia ganyang amerika,1,-3,Negatif,-2
gila amerika serikat enak jidat blokade hormuz umur hidup,2,-2,Netral,0
negara kapai situ,1,-1,Netral,0
zionis barat nepatin janji langgar,1,-1,Netral,0
amerika serikat israel bikin sepakat ambil lengah lawan focus sepakat amerika serikat israel langsung serang lawan langsung cari alas,1,-2,Negatif,-1
amerika israel dioercaya,1,-1,Netral,0
bravo iran tunduk zionis,1,-2,Negatif,-1
buka tutup buka tutup kaya hati wanita mantan,1,-1,Netral,0
nas ingkar percaya,1,-2,Negatif,-1
preman laut,1,-1,Netral,0
amirika rampok jajah injak injak negara,1,-1,Netral,0
berita semrawut bilang buka bilang tutup,1,-1,Netral,0
percaya mamarika,1,-2,Negatif,-1
amerika israel janjiorg licik menang susah,2,-3,Negatif,-1
trump bingung hadap perang iran,1,-3,Negatif,-2
presiden amerika serikat gila trump stres akal pikir sayang amerika serikat presiden odgj,3,-2,Positif,1
paya lagak bodoh l iran berani tutup selahermus rudal amerika,3,-2,Positif,1
amerika negara percaya,1,-2,Negatif,-1
selat malaka,1,-1,Netral,0
ngancam mulu sekutu berani berani keroyokan,3,-1,Positif,2
amerika serikat nego gagal tiket amerika serikat serang hsbiis,1,-3,Negatif,-2
cerita kosong ekonomi rosak,1,-1,Netral,0
us negara kuat ngroyok negara lemah becus menang mang damai,2,-2,Netral,0
tunduk ammirika lawan samoae trump sombong hancur lebur,1,-2,Negatif,-1
iran is best lawan,1,-2,Negatif,-1
ab oz laku oceh,1,-1,Netral,0
amerika serikat bodoh uranium bri rusailagilah rusiah musuh natodi lndonesia malaysia,1,-3,Negatif,-2
gencat senjata wacana gencat senjata trump tipu daya cari peluang bijak iran trump langgar gencat senjata perang asiran,1,-3,Negatif,-2
donald trump percaya omong niat minyak iran aset iran assalamualaikum bombardir donald trump ter tangkap hidup mati,1,-3,Negatif,-2
mudah dunia damai,1,-1,Netral,0
donald trump malu iran buka catat nyata menlu iran negara nato suka laku donald trump harap menlu irgc duduk beda kalang perintah iran donald trump gertak moga perintah iran beda donald trump sinting pandang negara nato rupa menang iran robert ahli militer amerika serikat nobat iran negara kuat militer dunia pribadi bangga gelar moga perintah iran masyarakat paham muka menlu iran beliau cerdas berani strategi cerdas moga sehat masyarakat iran,3,-3,Netral,0
bahaya rezim oligarki,1,-2,Negatif,-1
tebak trump percaya,1,-2,Negatif,-1
donald benarbenar jatuh nuklir iran kisah herosima ulang,1,-1,Netral,0
politik taktik amerika serikat ulur beres uranium iran,1,-1,Netral,0
ancam amerika hadap iran pengaruh rakyat iran sang takluk dunia,1,-1,Netral,0
iran mantap waspada amerika serikat pandang untung negara untung global ancam hancur amerika serikat untyk iran lengah ketat tahan selat hormuz pilih blokade selat hormuz ketat leceh hadap mou iran amerika serikat segan segan laku tindak menfhancurkan tenggelam laksana mou hormat laku tanggung,3,-2,Positif,1
iran lenyap,1,-2,Negatif,-1
tua bebek pikun susah pegang omonganya,1,-2,Negatif,-1
sikat habis biar selesai,1,-1,Netral,0
main trump kaya anak kaya gila shg bawa negara amerika serikat leceh negara dewasa,1,-2,Negatif,-1
perang ancam plaksanaan berani,3,-3,Netral,0
abai trump negosiasi damai sitrumppenipu kalah,1,-1,Netral,0
trump gila,1,-2,Negatif,-1
propaganda jajah model laku,1,-2,Negatif,-1
abal abal bodah suka bela iran bodah,3,-1,Positif,2
