stopword removal,Score,Sentiment
haluiran tukang ngibul,-1,Negatif
pengiriman senjata amerika serikat israelmembunuh manusiatrump sidajjal,-1,Negatif
mulut donald bebek ketakutan selat hormuz kuasai iran kebohongan narasi makzulkan rakyat amerika serikat,-3,Negatif
percaya amerika licik mewakili amerika zionis jahat biadab merampok sda tanah negara iran waspadai siaga jam,-2,Negatif
bajixgan israel biang kerusuhan dunia,-1,Negatif
seru pastikan cina rusia korut pesta kembang api,3,Positif
juru runding amerika zionis mendikte iran iran melucuti persenjataan iran iran menuruti permintaan amerika licik,1,Positif
gara membunuh ali kamenei urusan kong trompet pikir membunuh ali kamenei kong trompet langsung berkuasa iran singkat parah amerika serikat pikir iran lemah biang kericuhan dunia rewel trompet bayangkan dibunuh dendam habis membunuh rumah direbut milik otak waraslah dendam,-2,Negatif
china tutup laluan penerbangan korut laluan rudal kirim israelmantap goyang mamarika,-3,Negatif
iran berani,0,Netral
indonesia nganut indonesia pokoknya rampok uang negara,-2,Negatif
dunia ambruk akrena ulah zionis dibantu amerika,-1,Negatif
kebidaban zionis israel libanon dunia diam,0,Netral
allah zionis penyerangan tepi barat dunia bersatu memaksa zionis wailayah gaza palestina,-1,Negatif
media hoakai,0,Netral
sabar tenggelamkan kapal induk amerika serikat biadab jahanam,-1,Negatif
sombongnya donald bebek,0,Netral
tutup permanen kasih kapal penjahat dunia negosiasi amerika serikat jionis biar hancur menjajah ekonomi dunia,0,Netral
tenggelamkan semut melawan,0,Netral
iran tamat angkatan lautnya video,-1,Negatif
khusus kapal amerika zionis sekutu mendukung zionis enak mengancam china china takut kaya melawan china rusia coba berani trump melawan china rusia,-2,Negatif
negara memikirkan peningkatan alutista kenoha memikirkan pariwisata,-2,Negatif
donald trump penyebab amerika hilang wibawa,-1,Negatif
ajar amerika blokade kapal selat hormuz kejahatan amerika selat hormuz milik donald trump,0,Netral
trump mengancam cinaancaman trump mempan cina,0,Netral
iran kaleng indonesia nyali kaya iran tunduk diajak perjanjian amerika serikat diinjak harga bangsa,2,Positif
setuju iran menutup penuh zelat hormuz kapal amerika zionis biarkan amerika songok merampok selat hormuz berani langsung dirudal biarkan iran rudal rusia china korut menghancurkan kapal peswat amerika zionis,-4,Negatif
peringatan langsung kirim rudal kecuali kapal anti rudal,0,Netral
dunia terbuka melawan a amerika israel negara serakah,0,Netral
terbaik iran,1,Positif
negara super power berani perang darat lawan iran dasar pengecut,-1,Negatif
trump nethanyahu mikir mati,0,Netral
silakan tenggelamin,1,Positif
melejit harga minyak siapsiap krisis pangan pupuk terhambat,-1,Negatif
pemimpin rakus,0,Netral
trump menantang dunia,-1,Negatif
terbaik iran teruskan perjuangan allah bersamamu insyaallah,4,Positif
asia wajib big tq iran jual oil and gas dollar setongyg bikin raja arab trump murka gila,-1,Negatif
nego mamarika isriwil,0,Netral
amerika gila mengapai hormuz kedaulatan negara gila urusan,0,Netral
track record amerika serikat rewel ingkar janji berharap negosiasi damai,-1,Negatif
ah bacot lu kemarin mengeluarkan bomb nuklir ditungguin sebulan kagak nuklir bewok,-1,Negatif
rakyat amerika presiden memalukan,1,Positif
target amerika serikat terpenuhi biar bbm naikbiar dunia pindah mobil listrik,1,Positif
amerika israel negara pngacau dunia,0,Netral
selat hormuz buka pas kapal cina hormuzhhaahah takut china,0,Netral
slat hormos wilayah amerika serikat hajar ajak amerika serikat,0,Netral
semoga trump modar,-1,Negatif
berahir iblis tertawa,0,Netral
trump kaya jki bohong,-1,Negatif
sikap yahudi sebutkan quran suka ingkar janji,1,Positif
amerika serikat pecaya iran damai amerika serikat,0,Netral
biang rusuh dunia amerika,0,Netral
iran lucuti amerika kalah irak lucuti amirikaklo iran cepat hancurkan amerika iran hancur lemah jenderal iran,-1,Negatif
astempoh tiada kesudahan laut tiada nikmat kancontoh nikmat sepertikehidupan baikberkeluarga lagisaya mahu ajar kansaya mahu men sayasekian terima kasih bye bye,0,Netral
menyebelahi sesiapa iran plan mahu mencari pendapatan negara bangsa sahaja dibumi tuhan mencipta manusia berbilang bilang bangsa,2,Positif
percaya negara penjajah zionis,1,Positif
trump iblis bohongi manusia,0,Netral
menangsoal negara dukung iran,1,Positif
dunia pecundang winner,0,Netral
amerika israel ki kentir hak e liya dirampok sak penake dewe,0,Netral
komentar malas iran percaya amerika israel,0,Netral
dunia tenang damaiselagi negara bernama ameica israel,1,Positif
trump sakit kayanya pemimpin amerika menghancurkan ekonomi global,-3,Negatif
amerika serikat dipercaya,0,Netral
omogan trump kaya kentut,-1,Negatif
donald bebek matek,0,Netral
sang mafia legendaris paham aksi liciknya,0,Netral
contoh manusia nyata picik licik pembohong munafik seprti manusia nyata,1,Positif
negara maunya mengatur bertindak kesepakatan hukum internasional dilanggar dasar licik teroris biadab perampok,-2,Negatif
iran ambil nuklir,-1,Negatif
amerika sekutu keok ditangan iran negara menyerang iran sanggup,-2,Negatif
klaim trump berbeda kenyataan,-1,Negatif
semoga allah swt melindungi iran zolim munafik licik trump netanyahu firaun hitler abad psikopat berbahaya psikopat rakyat berbahaya psikopat pemimpin berbahaya solusinya negara dunia bersatu lakukan embargo ekonomi kucil negara psikopat amerika serikat israel semoga dengar wowo dengar statement solusi cerdik berperang paham pemimpin dunia,3,Positif
good job iran bravo iran,1,Positif
setan trump ingkar janji,-2,Negatif
ditutup dibuka,0,Netral
percaya amerika anak buah dajal,-1,Negatif
trump odgj odgj dipercaya alias munafik licik penipu mudah dipercaya,-1,Negatif
amerika kafir percaya ingkari berbohong,0,Netral
prmah negosiasi terofis amerika serikat zionis israelmereka licik,1,Positif
menguntungkan amerika serikat licik,0,Netral
licik serakah trumpet minyak uranium iran israel netanyahu suka merampok wilayah negara trumpet amerika serikat suka mengambil minyak negara sepaket,-1,Negatif
iran damai membunuh ali khamenei,0,Netral
stand with iran,0,Netral
terkutuk donald trumppp,-1,Negatif
trump otak error dimakzulkan manusia aneh,0,Netral
gila bertindak muka bumi,-1,Negatif
eaalah tutup rapat salathormouz trump dunia serasa miliknya kali,-1,Negatif
percaya trumpet gila dipercaya lucunya wowo president indonesia jilat tunduk coblos pilpres kemarin menyesal,-1,Negatif
ditutup lagibarti iran punahberani taruhan,1,Positif
tumben antek donald bebek n isriwil komentar,-2,Negatif
kapal mabur,-1,Negatif
amerika negara licik rampok trimakasih metro tv,0,Netral
mmng dipercaya trusaduhh,0,Netral
asikkkk petang blokade lanjuttttt iran terpurukkkkk uclim indonesia kelonjotan,0,Netral
knapa pemimpin mendukung amerika serikat pemimpin pengecut politik politik kali,-2,Negatif
allah menangkan negeri muslim iran pemersatu negeri lawan penjajah iblis amerika setan israel,0,Netral
amerika israel laknatullaah cari jalan mengecoh mmbumi hanguskan iran amerika alibi alibi iran lengahpas lengah bergerak mmbumi hanguskan iranwaspada iran,-2,Negatif
awas kena jebakan amerika serikat israel,0,Netral
bravo iran bravo irgc allahuakbar allahuakbar allahuakbar islam menang,1,Positif
percayalah sekte protes ingkar janji,-2,Negatif
teritori ngoto kau blokadegmn negara blokade laut trump pembelaan kedaulatan iran,0,Netral
dahlaaaa perang dunia tempatnya munafik pengusaha kejiperang ancuran,-1,Negatif
kasihan trumptahan banget menempatkan pecundanggila sorakan bayar,1,Positif
dibiarkan penjajah amerika berhenti mengusik negara langkah melawan musnahkan,1,Positif
kali amerika serikat ingkar janji,-1,Negatif
rezim trump jahanam apapun dihalalkan rezim dikasih nafas habiskan rezim trump pendusta,-1,Negatif
mamarika negara maling,0,Netral
dipercaya rezim trump jahanam,-1,Negatif
iranallohuakbar hancurkan setan setan israel zionis amerika amerika serikat biadab keji laknatullah,-3,Negatif
mentangmentang dollar amerika serikat suka suka,0,Netral
berani amerika serikat menahan kapal china rusia,-2,Negatif
dinamakan perang undur maju perang amerika serikat vs iran kayaknya perang ujungnya perang mundur maju menang kalah hihi mengaku menang amerika serikat mengaku menang iran mengaku menang kayaknya perang mah ujung senjata nuklir kak endak maha kuasa mengancurkan dunia,-7,Negatif
perang habis hadapi titik darah penghabisan binasakan militer amerika serikat donald duck manusia licik mati hidup persia takbir,-2,Negatif
meletuplah matahari kiamat,0,Netral
truml niat nuklir dalih trump niat utama trump ngambil minyak iran maksud trump iran anggap venezuala mudah takluk,-1,Negatif
meletuplah kapal minyak ladang minyak kiamat,-3,Negatif
oyen kaya bocah roblox,0,Netral
yesus salip,0,Netral
tampar keras amerika gpunya muka,0,Netral
dunia bersatu serang armada amerika serikat,-3,Negatif
donald bebek penipu ulung bop anggotanya manut manut,-1,Negatif
dasarnya licik licik amerika serikat sirewel kesusahan,-1,Negatif
eropa kompak negara penjahat,0,Netral
kapal pertamina blokade dibuka model trump,0,Netral
bagusnya prang salah negara menyerah,-2,Negatif
trump gila ingatmengusahkan,0,Netral
iran harga brooo haram iran tunduk dajal,0,Netral
metro emm berani melabeli amerika perampok pengingkar janji salut team redaksi metro bravo metro,1,Positif
amerika serikat bajak laut,-1,Negatif
kayaknya ngulur pasukan daratnya strateginya,-2,Negatif
trump gila maknya pernyataan janjinya berubah ubah,0,Netral
amerika serikat belut kalah pamor iran negara maunkadi super power,-1,Negatif
hhhh gila amerika serikat,0,Netral
nyata tujuan amerika serikat sbnary nuklir pengin minyak iran namanya pemalakan,0,Netral
iran nipu amrik nuklir rudal jarak jangkaunya ribukm kwkwkwk,0,Netral
gila donald omongan nya bocah konsisten,-1,Negatif
coba tembk dkit kapl amerika serikat blokir selat hormuz mundur,-1,Negatif
go bravo iran semangat iran,0,Netral
kompromi mamarika menguntungkan pemimpin berkompromi goblock unlimeted habis,0,Netral
negara adidaya kena batunyasampek bingung menyerah malu menyerah hancur ekonominya,-3,Negatif
malu donald bebek teroriz amerika israel,0,Netral
buka tutup buka tutup gampang banget dibohongi amerika serikat wakakaka,-1,Negatif
perang gencatan amerika serikat memanfaatkan rencana gencatan cari kesempatan menghancurkan iran amerika serikat licik pe ngecut penuh drama,-4,Negatif
oke hajarr leburrr tabarakalloh abah donald,2,Positif
ngebet pengin damai,0,Netral
hahaha bop niiran dibohongin donat,0,Netral
keren iran dasar garong dunia berani lawan licik licik amerika serikat,0,Netral
iran mempercepat bikin senjata niklirnya setan setan ayo iran bikin cepat nuklirnya dengar setan pembohong,-2,Negatif
alasan serang berjanji mungkiri janji kafir laknatullaah selagi kemahuan dituruti,-2,Negatif
amerika dipercaya mimpin trump odgj,0,Netral
biar manusia dunia tahusiapa penjahat dunia amerika serikat israel ubah iblis dajjalsatu dunia salahdia salah,-1,Negatif
nampaknya strategi donald bebek menduduki pulau kharg kapal nato tambahan menangkis spam dronerudalkapal iran pesawat tempur mengintai titik peluncuran rudal iran disatu sisi memecah kosentrasi iran pasukan darat masuk wilayah iran lindungi air strikesemoga iran strategi jitu menghalau semuabravo iran,-7,Negatif
percaya makananaya ingkar janji lawan biar keangkuhannya hancur,0,Netral
terima kasih ulasan terbaik iran muka amerika serikat trump gengster no didunia,3,Positif
bravo iran lanjutkan pembalasan perundingan donald trump percaya licik,2,Positif
iran drama negara susah percaya percaya baya drama kau iran,-2,Negatif
amerika bajak laut internasional perairan iraniran melawan bajak laut mundur iran hak penuh selat hurmuz,-2,Negatif
percaya amerika serikat isrewel,1,Positif
amerika trump dipercayabeda detik beda perkataan,-1,Negatif
amerika negara maling rampok,-1,Negatif
lanjutkan iran menyerang blokade selat hormuz amerika hancurkan infrastruktur bom hancurkan ekonominya kilang minyak jembatan pelabuhan pabrik pabrik air listrik kirim pasukan darat mahal bom pakai bom bodoh murah hancurkan truk supply darat masuk produksi listrik rudal pengayaan nuklir pakai tangan inipun ngincer pemimpin pemimpinnya blokade amerika gerak kepukul iran cina arab cina puyeng iran venezuela ketutup arab selat hormuz ketutup ekonomi suram,-4,Negatif
kirim bon atom iranbiar dibuka jaya dunia sejahteracontoh bom atom hirosoma nagasakibayangkan bom atom amerika,5,Positif
bagus iran tutup selat hormuz semoga kesepakatan damai menemukan jalan buntu serangan besaran amerika serikat israel iran kehancuran iran mata kehebatan militer asisrael membombardir iran memusnakan rezim iran muka bumi,-3,Negatif
amerika israel sekutunya percaya wajib hancurkan,0,Netral
du percaya genctan,1,Positif
gaya bicaranya kayaknya nipu agresif bohong bocil tua,-3,Negatif
betapa rumitnya berurusan amerikatapi dunia pejam mata,0,Netral
negara rajanya standar ganda dipercaya,-2,Negatif
iran bego percaya amerika serikat israelklau perang menyerah musnah israel amerika serikat dunia kiyamat,-2,Negatif
percaya samamedia iran,1,Positif
oten kecewa,0,Netral
amerika percaya prabowo jongos amerika menghina jokowi antek cina prabowo terang terangan jongos amerika,0,Netral
lucu lucu lucu wkwkw,0,Netral
intinya negaranegara melintas selat hormuz bayar repot,-1,Negatif
us memperlakukann indonesia,0,Netral
alquran kafir melanggar perjanjian indonesia gabung bop amerika serikat israel lihat palestina merdeka,-1,Negatif
damai kecuali trump terbunuh,0,Netral
tutup musuh iran bikin rudal sebayak banyaknya negosiasi akal akalan trump,0,Netral
setan sebentar hancur presiden gila,-1,Negatif
amerika percaya iran permainkan,1,Positif
indonesia nonblok amerika israel serang iran dikecam dasar kemanusiaan pro dukung penjajah bpk takut miskin amerika lihatlah iran rakyat bersamamu,0,Netral
negara pembohongpenjahat dunia,0,Netral
mantap iran melawan sepenuhnya,0,Netral
dajjjal dipercaya,0,Netral
pendukung pikun solusinya namanya pikun bilang lupa pikun,-1,Negatif
amerika serikat penasaran minyak iran minyak iran jatuh tangan perampok abad amerika,0,Netral
mantap kuasa penuh iran insyaallah semoga iran sukses amin,4,Positif
percaya omongan iblis berbohong diragukan,-2,Negatif
seharusnxa negara memutus hububgan deplomatik amerika serikat,0,Netral
percaya amirika licik lanjutkan perang amirika,1,Positif
amerikaisrael bajingan menepati janji,0,Netral
layar amrik persiapan menyerang negara dipercaya,0,Netral
trump plin plan jejali granat mulut,-1,Negatif
gara amerika rakyat dunia menderita,-2,Negatif
percaya trump ingkar ingkar pengkiant kafir,-1,Negatif
amerika tukang tipu presiden percayakalo beraknya trump emas,0,Netral
mantap percaya amerika israel,2,Positif
iran benarkan china rusia mengiringi kapal negara jet tempur amerika serikat menyerang kapal belayarjika amerika serikat kacau tembak sahaja asmenjadikan amerika serikat melawan sekutunya kejahatan menyekat kapal perairan iran,-4,Negatif
strategi amerika serikat isriwil mengisi ulang amunisi penyerangan skala,1,Positif
drama iranian regime,-1,Negatif
sekeluarga pilih iran,-1,Negatif
lucu asbisa blokade jalur diaklo indonesia blokade jalur eropa,-2,Negatif
indonesia licikin amerika,0,Netral
iran mainan amerika serikat,0,Netral
gencatan senjata minggu doangkan besok yaaahhhh dirudal kapal amrik,-1,Negatif
trump plinplan galau duinya dah habis,-1,Negatif
iran sanggup mending demgerin amerika serikat israel negera tukang bohong merampok kekayaan negara,-1,Negatif
amerika ingkar janji lumrah munafik,-1,Negatif
chord kali lihat presiden kaya amerika keoar mulutmu trump kalah,1,Positif
tutup tahunayu iran,-1,Negatif
presiden soekarno,1,Positif
gila amerika serikat iran,0,Netral
terima kasih metro tv informasi akurat,1,Positif
bravo iran,0,Netral
keren reprternya amerika rekam jejak pengianatan,0,Netral
israel amerika dipcyudah khianat,-1,Negatif
percaya amerika israel,1,Positif
baku habis baku ancam coba tes,-1,Negatif
dipercaya perjanjian aneh strategi amerika serikat tragedi highway of death pojok amerika serikat biar trump terpojok ekonomi politik kalah trump,-6,Negatif
innalillahi wa inna ilaihi roojiun terhormat iran percaya nabi musa ingkari,2,Positif
kagak sejarahnya negara licik kafer mudah melawan beriman,0,Netral
lucu donald bebek mengomong meninggikan sendirimembuat keputusan sendirimerasa rezim donald bebek amerika sedikitpun harga dirinyamemalukaningin meramas kedaulatan negara iran tindakan kekerasan sungguh memalukan semoga iranirgcrakyat iran lindungan allah swt penguasa alam semestapencipta langit bumiaamiin,3,Positif
kama nabi yahudi nasranin percaya lihat sejara islam,4,Positif
iran mainan us,0,Netral
amerika israel dipercaya sihomongan trump kaya banciselama pimpinan trump amerika sadis bengis yabukannya membawa kedamaian mengobarkan perangmakin terang terangan berperan preman duniapbb diam menghukum amerikagunanya pbb,-3,Negatif
bebek bebek gara gara bebek dunia damai tentram bravo iran,-2,Negatif
tuhan bunuh manusia,1,Positif
amerika israel percaya otak licik gass kasih kendor,1,Positif
pirates one piece is real guys,2,Positif
sesuai ajarannya bebas berbohong trump,-1,Negatif
percaya amerika penghinat,1,Positif
percayadengan amirika sekutunyadalih gencetan senjatagencetan senjata merekauntuk pengiriman senjata israel,-1,Negatif
ilmuwan dimakan genderewo,-1,Negatif
dajjal amerika dipercaya,0,Netral
ssmua negara kasih js kekayaan amerika serikat israel perang,0,Netral
ranjau laut darat mantap iran,1,Positif
semoga trump karma kejahatannya menzolimi,0,Netral
beredar kabar ribuan tentara amerika serikat kelaparan ditengah laut akibat kirim pasokan kekapal perangnya beaya oprasional besaar milyarharikapal kapal,0,Netral
suka metro tv amerika perampok penjajah mantap metro tv,1,Positif
iran cerdas menghadapi manuver licik amerika iran membuktikan dunia internasional beniat menutup membuka selat hormuz ekonomi dunia terguncang akibat ulah amerika mengancam keamanan kedaulatan iran pasukan arnada laut amerika pergi meninggalkan kawasan teluk menyerang iran yakinlah iran menormalisasi selat hormuz selagi amerika mengancam memblokade laut dikawasan teluk berharap iran menormalisasi selat hormuz trump bermimpi terustrump berhalusinasi penguasa dunia internasional shg sekehendak hatinya mendikte menekan memaksa negara tunduk patuh keinginannya absolut berani membantah sayang kesombongan keangkuhan trump terbentur tembok persia iran teguh prinsip setia janji diganggu kedaulatannya,-11,Negatif
kafir mengaku anak tuhan sombong al quran bible qs al maidah ayat melanggar janjinya melaknat menjadikan hati keras membatu suka mengubah firmanfirman allah tempattempatnya sengaja melupakan pesan diperingatkan engkau nabi muhammad senantiasa pengkhianatan kecuali sekelompok berkhianat maafkanlah biarkanlah sesungguhnya allah menyukai orangorang muhsin matius tb hai keturunan ular beludak halhal jahat mulut meluap hati keluaran berjalan tengahtengahmu engkau bangsa tegar tengkuk membinasakan engkau jalankeluaran berfirmanlah tuhan musa israel bangsa tegar tengkuk berjalan tengahtengahmu membinasakan,-5,Negatif
trumpil tanggung malu parah stresnya,-2,Negatif
staretegi licik nipu terang terangan,0,Netral
amerika penjajah terkututuk,0,Netral
trm pembawa bencana srmoga mnusia cepat selesai,-1,Negatif
amerika bajingan terkutuk,-1,Negatif
perang donald bebek lengser,-1,Negatif
harga amerika kencingi trump mjadi negara perampoknegara plinplan negara munafik negara arogan sngat jijik,0,Netral
tipu amarika,0,Netral
united pirate sates of amerika upsa,0,Netral
percaya amerika amerika israel iblis setan,-1,Negatif
iran jual beli mental persia beda,0,Netral
iran berdamai kalah pemimpin rezim pandangan diterima perdamaian maksudnya pemimpin rejim tewas rudal akibat perang mati sahid kalah berdamai diadili pelanggaran ham pelanggaran internasional teroris memerangi negara tetangga akhinya nasibnya menyedihkan pengadilan sadar sadam husin presiden irak salam sadar,-3,Negatif
amerika serikat labil,-1,Negatif
mental penjajah amerika serikat sulit diubah mental korup pejabat indonesia,-2,Negatif
trump terjepit dibuka janji menyepakati hasil perundingan iran membuka selat dibuka dipikir trump iran membuka posisi lemah shg blokade amerika serikat thd kapal iran iran menutup selat adu urat saraf,-3,Negatif
presiden berkhianat,0,Netral
dilayani pembohong,-1,Negatif
zaman nabi muhammad kafir perdamaian perjanjian melanggar menghianati,0,Netral
allahuakbar dajjal musnah amin,-1,Negatif
gila kaya trump terpilih presiden amerika,1,Positif
amerika dipercaya amerika sumber kekacauan dunia perampok internasional,-1,Negatif
ayo iranmaju,1,Positif
amerika kuat ekonomi keburu iran bangkrut duluan taktik adu kuat kelaparan bertahan,-3,Negatif
kangker dunia,0,Netral
iran tutup selat hormuz bebek ketemu neken iran iran bangkrut ekonomi menyerah donald dimau dibuka blokade,-2,Negatif
berita hoax sebar menghibur umatclim clim,-2,Negatif
kenyataannya amerika serikat israel keparat grup indonesia bop,-3,Negatif
amerika penjajahharus dilawan,0,Netral
bravo iran semoga allah swt kekuatan,2,Positif
duit bop dikasi israel,0,Netral
licik kokiya perang,-1,Negatif
metro tv iran,0,Netral
mamarika kocak,-1,Negatif
kasihan rakyat amerika bolak bohongi presiden amerika,1,Positif
pemimpin iran bingung trump,0,Netral
percaya amerika maju hancur israel amerika allahu akbar,1,Positif
amerika rakus minyak kenyataan,0,Netral
kapok bhongi trsy gncetan senjata percaya ucapan amerika serikat israel,0,Netral
donald trump donald trump tua tinggah capek capek bikin bajingan donald trump sipat serakah tenang hidupnya sipat serakah mendarah daging hatinya pokoknya amerika sulit percaya sifat bajingan donald trump puas walpon bersalah sipat serakahnya,-1,Negatif
nego bebek licik tukang tipu,-1,Negatif
iran pegang kendali amerika serikat amerika serikat berani kontak langsung iran hebatnya amerika serikat cerita film fikrif kenyataannya membehhh ndoblehhh,-1,Negatif
trump menguasai selat malaka menguasai selat data penduduk indonesia amerika antek asing munculnya kabar usulan blanket overflight access izin lintas udara pesawat militer amerika serikat wilayah indonesia memunculkan spekulasi kawasan asia tenggara diberitakan bbcnewsindonesia menilai langkah strategi washington memperkuat pengaruh jalur pelayaran vital dunia selat malaka ketegangan selat hormuz meningkat spekulasi kali mencuat media india firstpost memuat laporan april menyebut amerika serikat mengajukan akses terbang armada militernya langit indonesia,-5,Negatif
suaranya lemas,1,Positif
amerika serikat turun temurun hobinya penjajah merampok wilayah negara lainselat otoritas hak iran ganggu,-2,Negatif
mumpung trump brngskbrngsknya iran hajar keluarkan rudal terbaik hancurkan aset amerika serikat kawasan kapal induk mondarmandir sok jagoan,-1,Negatif
amerika kebanyakan ngancam lakukan kekuatanmu iran kasih kendor ratakan rezim irgc iran infrakstrukturnya kasih kado spesial irgc iran radikal biarkan dunia menyaksikan kuat tunjukkan kekuatan amerika,4,Positif
negara munafik tepati janji berbuat licik,0,Netral
iran sikat adari amerika susah senjata,-1,Negatif
jagan percaya percaya ciri munafik dipercaya ingkar semoga negara iran dilindungi,1,Positif
amerika pembajak laut negara memalukan,0,Netral
percaya amerika israel,1,Positif
alhamdulillahsemoga cepat hancur binasa siteroris israel amerika penjahat perang musnah bumi,-2,Negatif
mantap iran allahu akbar,1,Positif
amerika kehilangan kapal induk timur habis mata mata satelit amerika kawasan negara mitra amerika membayar biaya keamanan nasional anggaran militer amerika turun drastis,-6,Negatif
trump pendiriansudah stres,-1,Negatif
donald bebek rese banget sok kuasa,2,Positif
tutup bbm indonesia harganya,-1,Negatif
perang mengobrol melulu klaamaan negosiasi ratakan amerika serikat israel,-1,Negatif
berani lawan assemua negara takut amerika serikat,0,Netral
kesepakatan odgj,0,Netral
susah damai penjajah,-1,Negatif
kukira iran bela palestina eh iran perang persaingan bisnis menguntungkan negaranya,0,Netral
demen lihat metro tv bawakan berita berani mengutuk zionist amerika serikat,-1,Negatif
donald licik menepati janji,0,Netral
kabarnya preman amerika serikat ikutan mangkal malak situ,-1,Negatif
apapun perjanjian percaya zionis amerika serikat israel,1,Positif
percayai iran bolbal ikutan genjatan senjata mending bombardir amriko and isrewel habis,0,Netral
sungguh manusia pembohongjika iran aman iran wajib senjata nuklir,0,Netral
iran perbanyak nuklir berkolaborasi korut rusia n china,0,Netral
here go agains black mondays,0,Netral
tokoh bop omongannya dipercaya donald trump netanyahu prabowo,0,Netral
berguna pembicaraan langsung amerika,2,Positif
donaldtrump real odgj,1,Positif
mampus merasai,0,Netral
percaya amerika serikat stlah trbuka tengker posisi aman amerika serikat berulah mulut trump amerika serikat israel busukk,-1,Negatif
makanyaaa percaya trump israel iblis berkhianat bohong berjanji ingkar,-3,Negatif
dicabut blokade trumpet menang ditutup alasannya kakek tukang ingkar janji,-1,Negatif
sabar iran menghadapi iblis,0,Netral
tujuan israel gencatan senjata dilibanon perang asisrael iran hizbullah menyerang israel,-2,Negatif
negara engak percaya mengapai temani,1,Positif
hafal indonesia permainkan iran,0,Netral
kristen kebiasaan berkhianat perjanjian ummat islammaka wajar melanggar perjanjian,-2,Negatif
bilang pernh percy dajjal kaya donald trumpdia teroris dunia,0,Netral
semoga amerika cepat runtuh,-1,Negatif
arti pbbsemua negara dunia berani amerika serikat gampang negara dunia kompak bangsa duniatapi kompak,1,Positif
bajingan trump harga minyak anteknya memainkan permainan ekonomi mencari keuntungan ekonomi kenaikan harga minyak memperberat ekonomi negara bergantung minyak ditutup iran diblokade amerika perang tujuannya kepentingan ekonomi trump,3,Positif
dunia berharap amerika serikat,0,Netral
kaya anak,-1,Negatif
amerika israel takkan dipercaya manusia munafik dhzalim dikasih kasih hatiiran waspada,2,Positif
selat hormuz milik iran milik amerika,2,Positif
iran amerika serikat takut bajak laut amerika serikat langsung rudal kapal nuklir amerika serikat,-1,Negatif
metro tv mantap berani bilang amerika negara perampok,1,Positif
amerika serikat omon omon doang,0,Netral
rugi minyak mahal,0,Netral
amerika bajak laut,-1,Negatif
ingkar janji amerika,-1,Negatif
celah sedikitpun tunjukkan irgc takut amer amer israel power,-1,Negatif
eeeeeuuuuuh isrewel amerika serikat pengacau agresi damai sungguh akal,0,Netral
negara nuklir pertahanan,0,Netral
semoga kehancuran israel amerika serikat disegerakanamin,0,Netral
israel hancur amerika nyerahhanya iran menghancurkan israel,-1,Negatif
donald bebek dunia milk amerika serikat sikap ngr berani amerika serikat,1,Positif
us navy blokade total makanan obatan blok masuk iran lihat kelaparan jr rakyat iran,1,Positif
amerika serikat israel hancur leburiran,0,Netral
bosan main drama irgc haha,-1,Negatif
eropa pakai lilin,0,Netral
negosiasi iblis trump semangat berjuang bangsa iran,0,Netral
dasarx licik licik dipercaya,0,Netral
presiden amerika munafiq,1,Positif
jalan satunya perang habisan,-1,Negatif
catat percaya terrorist amerika serikat zn rl,1,Positif
trump gilaaaaaaa,0,Netral
mamarica raja kejahatan duniajd skle,0,Netral
amerika serikat hengkang teluk hormuz ayo iran langsung hancurkan kapal diteluk,0,Netral
tuhan bohongi manusia,2,Positif
buang kerok amerika serikat israel,-2,Negatif
donald bebek dipercaya,0,Netral
temenya prabuwuuuuuuu susah bilang,-1,Negatif
amerika janji menepati,0,Netral
jalan satunya iran diganggu secepatnya nuklir,1,Positif
amerika pengecut pembicaraan kesepakan mengerahkan armada area blokade tembak iran negeri pengecut mengalihkan perhatian israel menembak tentara indonesia menyerang libanon nyawa murah,-3,Negatif
iran seharus kasih kapal tengker cepat melintas serentak jam telat tungu mingu lagikan pacu kapal gede pepet kaya metromini india,-3,Negatif
iran seharus kasih kapal tengker cepat melintas serentak jam telat tungu mingu lagikan pacu kapal gede pepet kaya metromini india,-3,Negatif
ribet banget,0,Netral
genjatan senjata tarik ulur strategi peperangan teroris amerika serikat teroris amerika serikat kekalahan akibat kurangnya strategi invasi kekalahan mutlakmelainkan perang berhenti,0,Netral
percaya amerika penjajah perampok berubah,1,Positif
ajar mikir kepentingan dunia,1,Positif
silakan percaya amerika,2,Positif
sulit titik temu amerika serikat is cari menangnya,-1,Negatif
irgc top margotop,1,Positif
amerika israel dipercaya dijamin negara teluk jual minyak,1,Positif
biarkan merajalela,-1,Negatif
oten indonesia vs trumsetannyahu,0,Netral
ass iean bertindak habis gencatan sennata langsung serang kapal induk penjajah amerika negosiasi gunanya rakyat indonesia muslim dukung penuh iran melawan abresor iblis trump,0,Netral
hadeh parah iran buka amerika percaya menekan iran melemahkan ekonomi iran semena mena mendekte iran perundingan membuka hormuz ide bodoh lawan menekan baiknya iran menguat memblokade selat bab ell membuka hormuz kecuali kesepakatan damai kesepakatan buka ide gila,-4,Negatif
amerika serikat israel tipe licikdan suka ingkar janjiitu alkitabmana yahudi jujurtidak,-1,Negatif
langsung rudal israel,1,Positif
amerika meresahkan dunia ganyang amerika,-1,Negatif
gila amerika serikat seenak jidatnya blokade hormuz seumur hidup,-1,Negatif
negaranya mengapai situ,0,Netral
